code,title,level,units,coordinating_unit,source
MATH7016,Mini Project B,Postgraduate Coursework,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH7016
MGTS3301,Global Strategic Management,Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=MGTS3301
MGTS7309,Decision Making & Reporting for Sustainability,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=MGTS7309
MGTS7621,Career Transition,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=MGTS7621
MRES7015,Independent Clinical MRI Project,Postgraduate Coursework,4.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MRES7015
MRES7018,Advanced Research Project,Postgraduate Coursework,6.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MRES7018
MRES7025,Magnetic Resonance Clinical Practice 1,Postgraduate Coursework,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MRES7025
MSTU1001,Introduction to Film & Television Studies,Undergraduate,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=MSTU1001
MSTU3012,Independent Media Studies,Undergraduate,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=MSTU3012
MUSC3170,Directing Instrumental Ensembles,Undergraduate,2.0,Music School,https://programs-courses.uq.edu.au/course.html?course_code=MUSC3170
MUSM7003,Cultural Management: Leadership in Arts Organisations,Postgraduate Coursework,2.0,Social Science School,https://programs-courses.uq.edu.au/course.html?course_code=MUSM7003
NUMW3204,Clinical Midwifery Practice 7,Undergraduate,6.0,"Nursing, Midwifery & Social Wk",https://programs-courses.uq.edu.au/course.html?course_code=NUMW3204
NUMW6002,Research Methods & Thesis Preparation,Postgraduate Coursework,4.0,"Nursing, Midwifery & Social Wk",https://programs-courses.uq.edu.au/course.html?course_code=NUMW6002
NUMW6003,Thesis (full-time study),Postgraduate Coursework,8.0,"Nursing, Midwifery & Social Wk",https://programs-courses.uq.edu.au/course.html?course_code=NUMW6003
OHSS7102,Industry Placement OHS,Postgraduate Coursework,4.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=OHSS7102
OHSS7200,Occupational Hygiene Research Project,Postgraduate Coursework,4.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=OHSS7200
