course_code	course_html_link
ARTT6014	https://programs-courses.uq.edu.au/course.html?course_code=ARTT6014
AUDL7121	https://programs-courses.uq.edu.au/course.html?course_code=AUDL7121
AUDL7122	https://programs-courses.uq.edu.au/course.html?course_code=AUDL7122
AUDL7123	https://programs-courses.uq.edu.au/course.html?course_code=AUDL7123
AUDL7221	https://programs-courses.uq.edu.au/course.html?course_code=AUDL7221
AUDL7222	https://programs-courses.uq.edu.au/course.html?course_code=AUDL7222
AUDL7223	https://programs-courses.uq.edu.au/course.html?course_code=AUDL7223
AUIL7200	https://programs-courses.uq.edu.au/course.html?course_code=AUIL7200
AUIL7201	https://programs-courses.uq.edu.au/course.html?course_code=AUIL7201
AUST2000	https://programs-courses.uq.edu.au/course.html?course_code=AUST2000
BINF7000	https://programs-courses.uq.edu.au/course.html?course_code=BINF7000
BINF7001	https://programs-courses.uq.edu.au/course.html?course_code=BINF7001
BIOC2001	https://programs-courses.uq.edu.au/course.html?course_code=BIOC2001
BIOC2052	https://programs-courses.uq.edu.au/course.html?course_code=BIOC2052
BIOC3005	https://programs-courses.uq.edu.au/course.html?course_code=BIOC3005
BIOC3006	https://programs-courses.uq.edu.au/course.html?course_code=BIOC3006
BIOC6001	https://programs-courses.uq.edu.au/course.html?course_code=BIOC6001
BIOC6040	https://programs-courses.uq.edu.au/course.html?course_code=BIOC6040
BIOC7001	https://programs-courses.uq.edu.au/course.html?course_code=BIOC7001
BIOC7040	https://programs-courses.uq.edu.au/course.html?course_code=BIOC7040
BIOC7105	https://programs-courses.uq.edu.au/course.html?course_code=BIOC7105
BIOE3001	https://programs-courses.uq.edu.au/course.html?course_code=BIOE3001
BIOE4305	https://programs-courses.uq.edu.au/course.html?course_code=BIOE4305
BIOE6028	https://programs-courses.uq.edu.au/course.html?course_code=BIOE6028
BIOE6403	https://programs-courses.uq.edu.au/course.html?course_code=BIOE6403
BIOE6601	https://programs-courses.uq.edu.au/course.html?course_code=BIOE6601
BIOE7902	https://programs-courses.uq.edu.au/course.html?course_code=BIOE7902
BIOL1020	https://programs-courses.uq.edu.au/course.html?course_code=BIOL1020
BIOL1050	https://programs-courses.uq.edu.au/course.html?course_code=BIOL1050
BIOL1630	https://programs-courses.uq.edu.au/course.html?course_code=BIOL1630
BIOL2201	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2201
BIOL2202	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2202
BIOL2203	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2203
BIOL2204	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2204
BIOL2205	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2205
BIOL2902	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2902
BIOL2903	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2903
BIOL2904	https://programs-courses.uq.edu.au/course.html?course_code=BIOL2904
BIOL3000	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3000
BIOL3006	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3006
BIOL3011	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3011
BIOL3024	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3024
BIOL3200	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3200
BIOL3205	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3205
BIOL3215	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3215
BIOL3222	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3222
BIOL3227	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3227
BIOL3300	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3300
BIOL3320	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3320
BIOL3350	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3350
BIOL3900	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3900
BIOL3906	https://programs-courses.uq.edu.au/course.html?course_code=BIOL3906
BIOL6202	https://programs-courses.uq.edu.au/course.html?course_code=BIOL6202
BIOL7012	https://programs-courses.uq.edu.au/course.html?course_code=BIOL7012
BIOM1002	https://programs-courses.uq.edu.au/course.html?course_code=BIOM1002
BIOM1052	https://programs-courses.uq.edu.au/course.html?course_code=BIOM1052
BIOM1071	https://programs-courses.uq.edu.au/course.html?course_code=BIOM1071
BIOM2012	https://programs-courses.uq.edu.au/course.html?course_code=BIOM2012
BIOM2015	https://programs-courses.uq.edu.au/course.html?course_code=BIOM2015
BIOM2222	https://programs-courses.uq.edu.au/course.html?course_code=BIOM2222
BIOM2402	https://programs-courses.uq.edu.au/course.html?course_code=BIOM2402
BIOM3003	https://programs-courses.uq.edu.au/course.html?course_code=BIOM3003
BIOM3015	https://programs-courses.uq.edu.au/course.html?course_code=BIOM3015
BIOM3202	https://programs-courses.uq.edu.au/course.html?course_code=BIOM3202
BIOM3333	https://programs-courses.uq.edu.au/course.html?course_code=BIOM3333
BIOM3402	https://programs-courses.uq.edu.au/course.html?course_code=BIOM3402
BIOM6070	https://programs-courses.uq.edu.au/course.html?course_code=BIOM6070
BIOM6080	https://programs-courses.uq.edu.au/course.html?course_code=BIOM6080
BIOM6192	https://programs-courses.uq.edu.au/course.html?course_code=BIOM6192
BIOM6200	https://programs-courses.uq.edu.au/course.html?course_code=BIOM6200
BIOT2002	https://programs-courses.uq.edu.au/course.html?course_code=BIOT2002
BIOT3004	https://programs-courses.uq.edu.au/course.html?course_code=BIOT3004
BIOT4005	https://programs-courses.uq.edu.au/course.html?course_code=BIOT4005
BIOT4482	https://programs-courses.uq.edu.au/course.html?course_code=BIOT4482
BIOT7005	https://programs-courses.uq.edu.au/course.html?course_code=BIOT7005
BIOT7033	https://programs-courses.uq.edu.au/course.html?course_code=BIOT7033
BIOT7038	https://programs-courses.uq.edu.au/course.html?course_code=BIOT7038
BIOT7050	https://programs-courses.uq.edu.au/course.html?course_code=BIOT7050
BIOT7060	https://programs-courses.uq.edu.au/course.html?course_code=BIOT7060
BIOT7061	https://programs-courses.uq.edu.au/course.html?course_code=BIOT7061
BIOT7062	https://programs-courses.uq.edu.au/course.html?course_code=BIOT7062
BIOX6000	https://programs-courses.uq.edu.au/course.html?course_code=BIOX6000
BIOX7000	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7000
BIOX7002	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7002
BIOX7003	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7003
BIOX7004	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7004
BIOX7005	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7005
BIOX7008	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7008
BIOX7009	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7009
BIOX7012	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7012
BIOX7014	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7014
BIOX7022	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7022
BIOX7024	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7024
BIOX7026	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7026
BIOX7100	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7100
BIOX7101	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7101
BIOX7200	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7200
BIOX7504	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7504
BIOX7508	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7508
BIOX7517	https://programs-courses.uq.edu.au/course.html?course_code=BIOX7517
BIPH3001	https://programs-courses.uq.edu.au/course.html?course_code=BIPH3001
BISM1201	https://programs-courses.uq.edu.au/course.html?course_code=BISM1201
BISM2202	https://programs-courses.uq.edu.au/course.html?course_code=BISM2202
BISM2203	https://programs-courses.uq.edu.au/course.html?course_code=BISM2203
BISM2207	https://programs-courses.uq.edu.au/course.html?course_code=BISM2207
BISM3205	https://programs-courses.uq.edu.au/course.html?course_code=BISM3205
BISM3208	https://programs-courses.uq.edu.au/course.html?course_code=BISM3208
BISM7202	https://programs-courses.uq.edu.au/course.html?course_code=BISM7202
BISM7206	https://programs-courses.uq.edu.au/course.html?course_code=BISM7206
BISM7208	https://programs-courses.uq.edu.au/course.html?course_code=BISM7208
BISM7213	https://programs-courses.uq.edu.au/course.html?course_code=BISM7213
BISM7216	https://programs-courses.uq.edu.au/course.html?course_code=BISM7216
BISM7233	https://programs-courses.uq.edu.au/course.html?course_code=BISM7233
BISM7255	https://programs-courses.uq.edu.au/course.html?course_code=BISM7255
BISM7807	https://programs-courses.uq.edu.au/course.html?course_code=BISM7807
BISM7808	https://programs-courses.uq.edu.au/course.html?course_code=BISM7808
BLDG2120	https://programs-courses.uq.edu.au/course.html?course_code=BLDG2120
BLDG3220	https://programs-courses.uq.edu.au/course.html?course_code=BLDG3220
BLDG7021	https://programs-courses.uq.edu.au/course.html?course_code=BLDG7021
BSAN2201	https://programs-courses.uq.edu.au/course.html?course_code=BSAN2201
BSAN2204	https://programs-courses.uq.edu.au/course.html?course_code=BSAN2204
BSAN2205	https://programs-courses.uq.edu.au/course.html?course_code=BSAN2205
